Year,Unemployment indicator (pp),Vacancy indicator (pp)
1960,0.37,0
1960.08333333333,0.03,0
1960.16666666667,0.08,0
1960.25,0.07,0.07
1960.33333333333,0.17,0.16
1960.41666666667,0.15,0.23
1960.5,0.25,0.3
1960.58333333333,0.39,0.37
1960.66666666667,0.44,0.45
1960.75,0.64,0.53
1960.83333333333,0.8,0.62
1960.91666666667,1.14,0.7
1961,1.32,0.76
1961.08333333333,1.56,0.81
1961.16666666667,1.63,0.81
1961.25,1.74,0.73
1961.33333333333,1.74,0.59
1961.41666666667,1.75,0.47
1961.5,1.66,0.34
1961.58333333333,1.33,0.22
1961.66666666667,1.2,0.06
1961.75,0.84,0
1961.83333333333,0.49,0
1961.91666666667,0,0
1962,0,0
1962.08333333333,0,0
1962.16666666667,0,0
1962.25,0,0.02
1962.33333333333,0,0
1962.41666666667,0,0
1962.5,0,0
1962.58333333333,0.06,0.06
1962.66666666667,0.1,0.1
1962.75,0.07,0.16
1962.83333333333,0.08,0.19
1962.91666666667,0.07,0.2
1963,0.19,0.19
1963.08333333333,0.28,0.17
1963.16666666667,0.34,0.15
1963.25,0.31,0.16
1963.33333333333,0.29,0.18
1963.41666666667,0.24,0.21
1963.5,0.23,0.2
1963.58333333333,0.02,0.13
1963.66666666667,0,0.08
1963.75,0,0.01
1963.83333333333,0.11,0.01
1963.91666666667,0.12,0
1964,0.13,0
1964.08333333333,0.03,0
1964.16666666667,0,0
1964.25,0,0
1964.33333333333,0,0
1964.41666666667,0,0
1964.5,0,0
1964.58333333333,0,0
1964.66666666667,0,0
1964.75,0.05,0.01
1964.83333333333,0,0
1964.91666666667,0,0
1965,0,0
1965.08333333333,0.07,0
1965.16666666667,0,0
1965.25,0,0
1965.33333333333,0,0
1965.41666666667,0,0
1965.5,0,0
1965.58333333333,0,0
1965.66666666667,0,0
1965.75,0,0
1965.83333333333,0,0
1965.91666666667,0,0
1966,0,0
1966.08333333333,0,0
1966.16666666667,0,0
1966.25,0,0
1966.33333333333,0.05,0
1966.41666666667,0.03,0.04
1966.5,0.05,0.02
1966.58333333333,0.02,0.03
1966.66666666667,0,0.09
1966.75,0,0.14
1966.83333333333,0,0.18
1966.91666666667,0.04,0.2
1967,0.11,0.22
1967.08333333333,0.17,0.24
1967.16666666667,0.17,0.27
1967.25,0.13,0.32
1967.33333333333,0.13,0.36
1967.41666666667,0.16,0.36
1967.5,0.17,0.41
1967.58333333333,0.17,0.4
1967.66666666667,0.14,0.36
1967.75,0.21,0.27
1967.83333333333,0.26,0.24
1967.91666666667,0.23,0.19
1968,0.06,0.13
1968.08333333333,0.01,0.09
1968.16666666667,0,0.01
1968.25,0,0
1968.33333333333,0,0
1968.41666666667,0.01,0
1968.5,0.08,0
1968.58333333333,0.09,0
1968.66666666667,0,0
1968.75,0,0
1968.83333333333,0,0
1968.91666666667,0,0
1969,0,0
1969.08333333333,0,0
1969.16666666667,0,0
1969.25,0.01,0
1969.33333333333,0.02,0
1969.41666666667,0.05,0.06
1969.5,0.09,0.14
1969.58333333333,0.13,0.26
1969.66666666667,0.22,0.22
1969.75,0.28,0.19
1969.83333333333,0.28,0.17
1969.91666666667,0.21,0.3
1970,0.26,0.47
1970.08333333333,0.49,0.62
1970.16666666667,0.78,0.8
1970.25,1,0.95
1970.33333333333,1.18,1.16
1970.41666666667,1.32,1.25
1970.5,1.43,1.32
1970.58333333333,1.52,1.38
1970.66666666667,1.59,1.45
1970.75,1.75,1.57
1970.83333333333,1.99,1.67
1970.91666666667,2.22,1.64
1971,2.31,1.51
1971.08333333333,2.08,1.37
1971.16666666667,1.75,1.2
1971.25,1.51,1.03
1971.33333333333,1.36,0.81
1971.41666666667,1.16,0.61
1971.5,1.03,0.42
1971.58333333333,0.95,0.3
1971.66666666667,0.81,0.26
1971.75,0.61,0.14
1971.83333333333,0.36,0.02
1971.91666666667,0.15,0
1972,0.05,0
1972.08333333333,0,0
1972.16666666667,0,0
1972.25,0,0
1972.33333333333,0,0
1972.41666666667,0,0
1972.5,0,0
1972.58333333333,0,0
1972.66666666667,0,0
1972.75,0,0
1972.83333333333,0,0
1972.91666666667,0,0
1973,0,0
1973.08333333333,0,0
1973.16666666667,0,0
1973.25,0.02,0.04
1973.33333333333,0,0.05
1973.41666666667,0,0.06
1973.5,0,0.02
1973.58333333333,0,0.03
1973.66666666667,0,0.06
1973.75,0,0.1
1973.83333333333,0.01,0.12
1973.91666666667,0.04,0.19
1974,0.21,0.28
1974.08333333333,0.32,0.39
1974.16666666667,0.36,0.43
1974.25,0.35,0.39
1974.33333333333,0.34,0.36
1974.41666666667,0.44,0.37
1974.5,0.58,0.5
1974.58333333333,0.69,0.61
1974.66666666667,0.86,0.73
1974.75,1.02,0.88
1974.83333333333,1.39,1.11
1974.91666666667,1.79,1.32
1975,2.32,1.47
1975.08333333333,2.7,1.55
1975.16666666667,3.15,1.66
1975.25,3.4,1.71
1975.33333333333,3.69,1.74
1975.41666666667,3.67,1.67
1975.5,3.47,1.47
1975.58333333333,3.18,1.27
1975.66666666667,2.88,1.1
1975.75,2.63,0.9
1975.83333333333,2.2,0.59
