Year,Minimum indicator (pp)
1929.25,0
1929.33333333333,0
1929.41666666667,0
1929.5,0
1929.58333333333,0
1929.66666666667,0
1929.75,0
1929.83333333333,0
1929.91666666667,0
1930,0
1930.08333333333,0.49
1930.16666666667,1
1930.25,1.02
1930.33333333333,1.04
1930.41666666667,1.08
1930.5,1.15
1930.58333333333,1.21
1930.66666666667,1.27
1930.75,1.29
1930.83333333333,1.22
1930.91666666667,0.97
1931,0.68
1931.08333333333,0.53
1931.16666666667,0.39
1931.25,0.37
1931.33333333333,0.35
1931.41666666667,0.37
1931.5,0.34
1931.58333333333,0.32
1931.66666666667,0.3
1931.75,0.33
1931.83333333333,0.31
1931.91666666667,0.3
1932,0.29
1932.08333333333,0.31
1932.16666666667,0.36
1932.25,0.41
1932.33333333333,0.43
1932.41666666667,0.41
1932.5,0.37
1932.58333333333,0.35
1932.66666666667,0.31
1932.75,0.22
1932.83333333333,0.21
1932.91666666667,0.21
1933,0.23
1933.08333333333,0.22
1933.16666666667,0.23
1933.25,0.19
1933.33333333333,0.11
1933.41666666667,0
1933.5,0
1933.58333333333,0
1933.66666666667,0
1933.75,0
1933.83333333333,0
1933.91666666667,0
1934,0
1934.08333333333,0
1934.16666666667,0
1934.25,0
1934.33333333333,0
1934.41666666667,0.01
1934.5,0.04
1934.58333333333,0.08
1934.66666666667,0.09
1934.75,0.09
1934.83333333333,0.08
1934.91666666667,0.06
1935,0.04
1935.08333333333,0.03
1935.16666666667,0.02
1935.25,0.01
1935.33333333333,0.01
1935.41666666667,0
1935.5,0
1935.58333333333,0
1935.66666666667,0
1935.75,0
1935.83333333333,0
1935.91666666667,0
1936,0
1936.08333333333,0
1936.16666666667,0
1936.25,0
1936.33333333333,0
1936.41666666667,0
1936.5,0
1936.58333333333,0
1936.66666666667,0
1936.75,0
1936.83333333333,0
1936.91666666667,0
1937,0
1937.08333333333,0
1937.16666666667,0
1937.25,0
1937.33333333333,0
1937.41666666667,0
1937.5,0
1937.58333333333,0
1937.66666666667,0.01
1937.75,0.18
1937.83333333333,0.28
1937.91666666667,0.42
1938,0.5
1938.08333333333,0.54
1938.16666666667,0.54
1938.25,0.57
1938.33333333333,0.59
1938.41666666667,0.61
1938.5,0.53
1938.58333333333,0.46
1938.66666666667,0.41
1938.75,0.37
1938.83333333333,0.24
1938.91666666667,0.09
1939,0
1939.08333333333,0.01
1939.16666666667,0
1939.25,0
1939.33333333333,0
1939.41666666667,0
1939.5,0
1939.58333333333,0
1939.66666666667,0
1939.75,0
1939.83333333333,0
1939.91666666667,0
1940,0
1940.08333333333,0
1940.16666666667,0
1940.25,0
1940.33333333333,0
1940.41666666667,0
1940.5,0
1940.58333333333,0
1940.66666666667,0
1940.75,0
1940.83333333333,0
1940.91666666667,0
1941,0
1941.08333333333,0
1941.16666666667,0
1941.25,0
1941.33333333333,0
1941.41666666667,0
1941.5,0
1941.58333333333,0
1941.66666666667,0
1941.75,0
1941.83333333333,0
1941.91666666667,0
1942,0
1942.08333333333,0
1942.16666666667,0
1942.25,0
1942.33333333333,0
1942.41666666667,0
1942.5,0
1942.58333333333,0
1942.66666666667,0
1942.75,0
1942.83333333333,0
1942.91666666667,0
1943,0
1943.08333333333,0
1943.16666666667,0
1943.25,0
1943.33333333333,0
1943.41666666667,0
1943.5,0
1943.58333333333,0
1943.66666666667,0
1943.75,0
1943.83333333333,0
1943.91666666667,0
1944,0
1944.08333333333,0
1944.16666666667,0
1944.25,0
1944.33333333333,0
1944.41666666667,0
1944.5,0.2
1944.58333333333,0.13
1944.66666666667,0.04
1944.75,0
1944.83333333333,0
1944.91666666667,0
1945,0
1945.08333333333,0
1945.16666666667,0.09
1945.25,0.08
1945.33333333333,0.06
1945.41666666667,0.18
1945.5,0.08
1945.58333333333,0.17
1945.66666666667,0.54
1945.75,1.19
1945.83333333333,1.55
1945.91666666667,1.72
1946,1.83
1946.08333333333,2.05
1946.16666666667,2.06
1946.25,2.12
1946.33333333333,2.21
1946.41666666667,2.22
1946.5,2.15
1946.58333333333,1.93
1946.66666666667,1.62
1946.75,1.15
1946.83333333333,0.89
1946.91666666667,0.87
1947,0.74
1947.08333333333,0.57
1947.16666666667,0.43
1947.25,0.62
1947.33333333333,0.71
1947.41666666667,0.86
1947.5,0.83
1947.58333333333,0.93
1947.66666666667,0.83
1947.75,0.5
1947.83333333333,0.32
1947.91666666667,0.2
1948,0
1948.08333333333,0
1948.16666666667,0
1948.25,0.18
1948.33333333333,0.08
1948.41666666667,0
1948.5,0
1948.58333333333,0.11
1948.66666666667,0.16
1948.75,0.2
1948.83333333333,0.16
1948.91666666667,0.23
1949,0.41
1949.08333333333,0.71
1949.16666666667,1.04
1949.25,1.19
1949.33333333333,1.19
1949.41666666667,1.25
1949.5,1.31
1949.58333333333,1.37
1949.66666666667,1.47
1949.75,1.49
1949.83333333333,1.46
1949.91666666667,1.25
1950,1.01
1950.08333333333,0.68
1950.16666666667,0.44
1950.25,0.25
1950.33333333333,0.16
1950.41666666667,0
1950.5,0
1950.58333333333,0
1950.66666666667,0
1950.75,0
1950.83333333333,0
1950.91666666667,0
1951,0
1951.08333333333,0
1951.16666666667,0
1951.25,0
1951.33333333333,0
1951.41666666667,0
1951.5,0.01
1951.58333333333,0.06
1951.66666666667,0.09
1951.75,0.12
1951.83333333333,0.11
1951.91666666667,0.16
1952,0.12
1952.08333333333,0.03
1952.16666666667,0
1952.25,0
1952.33333333333,0
1952.41666666667,0.03
1952.5,0.13
1952.58333333333,0.25
1952.66666666667,0.27
1952.75,0.05
1952.83333333333,0
1952.91666666667,0
1953,0
1953.08333333333,0
1953.16666666667,0
1953.25,0
1953.33333333333,0
1953.41666666667,0
1953.5,0
1953.58333333333,0.03
1953.66666666667,0.15
1953.75,0.32
1953.83333333333,0.61
1953.91666666667,1.14
1954,1.72
1954.08333333333,2.01
1954.16666666667,2.06
1954.25,2.14
1954.33333333333,2.13
1954.41666666667,1.97
1954.5,1.79
1954.58333333333,1.59
1954.66666666667,1.48
1954.75,1.34
1954.83333333333,1.05
1954.91666666667,0.63
1955,0.27
1955.08333333333,0.02
1955.16666666667,0
1955.25,0
1955.33333333333,0
1955.41666666667,0
1955.5,0
1955.58333333333,0
